[ 160000] Loss: 26.71251 time: (863.1, 377.7) vloss: 45.284 CER: 0.2200 NER: 0.2288 lr: 0.00129 bAcc: 3.3, bNER: 1000000.0000, bCER: 0.1974, B: 58.67
[ 165000] Loss: 25.72249 time: (865.4, 377.0) vloss: 44.780 CER: 0.2190 NER: 0.2291 lr: 0.00121 bAcc: 3.5, bNER: 1000000.0000, bCER: 0.1944, B: 58.72
[ 170000] Loss: 25.43964 time: (863.9, 377.5) vloss: 43.811 CER: 0.2135 NER: 0.2233 lr: 0.00114 bAcc: 3.7, bNER: 1000000.0000, bCER: 0.1907, B: 59.60
[ 175000] Loss: 24.27611 time: (866.2, 376.4) vloss: 43.175 CER: 0.2071 NER: 0.2175 lr: 0.00107 bAcc: 3.7, bNER: 1000000.0000, bCER: 0.1879, B: 60.78
[ 180000] Loss: 24.09145 time: (859.8, 371.1) vloss: 42.937 CER: 0.2052 NER: 0.2178 lr: 0.00100 bAcc: 3.9, bNER: 1000000.0000, bCER: 0.1864, B: 60.67
[ 185000] Loss: 23.25077 time: (859.8, 371.0) vloss: 42.353 CER: 0.2050 NER: 0.2171 lr: 0.00094 bAcc: 4.0, bNER: 1000000.0000, bCER: 0.1853, B: 61.04
[ 190000] Loss: 23.08245 time: (858.0, 371.4) vloss: 42.053 CER: 0.2035 NER: 0.2134 lr: 0.00088 bAcc: 4.2, bNER: 1000000.0000, bCER: 0.1824, B: 61.19
[ 195000] Loss: 22.24196 time: (860.3, 372.3) vloss: 41.565 CER: 0.1998 NER: 0.2114 lr: 0.00083 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1805, B: 61.92
[ 200000] Loss: 22.20607 time: (858.7, 371.0) vloss: 41.126 CER: 0.1962 NER: 0.2079 lr: 0.00077 bAcc: 4.6, bNER: 1000000.0000, bCER: 0.1776, B: 62.74
[ 205000] Loss: 21.13183 time: (858.7, 371.8) vloss: 40.434 CER: 0.1931 NER: 0.2056 lr: 0.00073 bAcc: 4.6, bNER: 1000000.0000, bCER: 0.1748, B: 63.26
[ 210000] Loss: 20.94394 time: (858.2, 370.9) vloss: 40.001 CER: 0.1934 NER: 0.2059 lr: 0.00068 bAcc: 4.6, bNER: 1000000.0000, bCER: 0.1737, B: 63.06
[ 215000] Loss: 19.91520 time: (859.3, 372.2) vloss: 39.519 CER: 0.1914 NER: 0.2027 lr: 0.00064 bAcc: 4.6, bNER: 1000000.0000, bCER: 0.1720, B: 63.59
[ 220000] Loss: 19.82631 time: (859.3, 371.4) vloss: 39.063 CER: 0.1865 NER: 0.1975 lr: 0.00060 bAcc: 5.1, bNER: 1000000.0000, bCER: 0.1701, B: 64.68
[ 225000] Loss: 19.52027 time: (861.0, 372.7) vloss: 38.822 CER: 0.1864 NER: 0.1967 lr: 0.00056 bAcc: 5.1, bNER: 1000000.0000, bCER: 0.1696, B: 64.60
[ 230000] Loss: 18.66197 time: (858.7, 370.9) vloss: 38.442 CER: 0.1837 NER: 0.1949 lr: 0.00053 bAcc: 5.2, bNER: 1000000.0000, bCER: 0.1686, B: 65.06
[ 235000] Loss: 18.64665 time: (859.7, 372.8) vloss: 38.064 CER: 0.1804 NER: 0.1904 lr: 0.00049 bAcc: 5.3, bNER: 1000000.0000, bCER: 0.1663, B: 65.62
[ 240000] Loss: 17.76164 time: (858.8, 370.9) vloss: 37.747 CER: 0.1780 NER: 0.1875 lr: 0.00046 bAcc: 5.9, bNER: 1000000.0000, bCER: 0.1645, B: 65.99
[ 245000] Loss: 17.65320 time: (858.7, 371.9) vloss: 37.419 CER: 0.1777 NER: 0.1883 lr: 0.00044 bAcc: 5.9, bNER: 1000000.0000, bCER: 0.1636, B: 65.90
[ 250000] Loss: 16.88887 time: (858.9, 371.5) vloss: 37.302 CER: 0.1756 NER: 0.1850 lr: 0.00041 bAcc: 6.0, bNER: 1000000.0000, bCER: 0.1608, B: 66.06
[ 255000] Loss: 17.07278 time: (861.2, 371.5) vloss: 37.014 CER: 0.1739 NER: 0.1826 lr: 0.00038 bAcc: 6.0, bNER: 1000000.0000, bCER: 0.1593, B: 66.44
[ 260000] Loss: 16.14840 time: (860.7, 372.2) vloss: 36.694 CER: 0.1676 NER: 0.1775 lr: 0.00036 bAcc: 7.1, bNER: 1000000.0000, bCER: 0.1566, B: 67.50
[ 265000] Loss: 16.15059 time: (858.6, 371.7) vloss: 36.555 CER: 0.1686 NER: 0.1793 lr: 0.00034 bAcc: 7.1, bNER: 1000000.0000, bCER: 0.1560, B: 67.32
[ 270000] Loss: 15.06306 time: (858.6, 374.0) vloss: 36.284 CER: 0.1662 NER: 0.1755 lr: 0.00032 bAcc: 7.4, bNER: 1000000.0000, bCER: 0.1552, B: 68.11
[ 275000] Loss: 15.61429 time: (859.7, 372.1) vloss: 36.259 CER: 0.1641 NER: 0.1738 lr: 0.00030 bAcc: 7.6, bNER: 1000000.0000, bCER: 0.1542, B: 68.25
[ 280000] Loss: 14.92456 time: (861.2, 373.5) vloss: 35.856 CER: 0.1602 NER: 0.1696 lr: 0.00028 bAcc: 7.9, bNER: 1000000.0000, bCER: 0.1511, B: 68.74
[ 285000] Loss: 14.70713 time: (859.4, 373.3) vloss: 35.709 CER: 0.1589 NER: 0.1685 lr: 0.00026 bAcc: 8.2, bNER: 1000000.0000, bCER: 0.1498, B: 69.18
[ 290000] Loss: 14.03201 time: (860.4, 373.9) vloss: 35.541 CER: 0.1561 NER: 0.1665 lr: 0.00024 bAcc: 8.7, bNER: 1000000.0000, bCER: 0.1485, B: 69.45
[ 295000] Loss: 13.94638 time: (857.5, 373.4) vloss: 35.763 CER: 0.1549 NER: 0.1653 lr: 0.00023 bAcc: 8.9, bNER: 1000000.0000, bCER: 0.1482, B: 69.92
[ 300000] Loss: 13.70473 time: (863.8, 372.8) vloss: 35.777 CER: 0.1538 NER: 0.1635 lr: 0.00022 bAcc: 9.1, bNER: 1000000.0000, bCER: 0.1482, B: 70.08
[ 305000] Loss: 13.28082 time: (858.1, 373.0) vloss: 35.720 CER: 0.1517 NER: 0.1622 lr: 0.00020 bAcc: 9.1, bNER: 1000000.0000, bCER: 0.1469, B: 70.48
[ 310000] Loss: 12.79605 time: (862.1, 374.2) vloss: 35.629 CER: 0.1508 NER: 0.1614 lr: 0.00019 bAcc: 9.1, bNER: 1000000.0000, bCER: 0.1469, B: 70.38
[ 315000] Loss: 12.71274 time: (868.8, 376.0) vloss: 35.503 CER: 0.1508 NER: 0.1615 lr: 0.00018 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1468, B: 70.46
[ 320000] Loss: 12.37112 time: (872.1, 379.7) vloss: 35.471 CER: 0.1521 NER: 0.1630 lr: 0.00017 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1465, B: 70.06
[ 325000] Loss: 12.08001 time: (874.8, 380.9) vloss: 35.493 CER: 0.1487 NER: 0.1600 lr: 0.00016 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1462, B: 70.71
[ 330000] Loss: 11.86534 time: (863.4, 377.5) vloss: 35.432 CER: 0.1487 NER: 0.1601 lr: 0.00015 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1453, B: 70.71
[ 335000] Loss: 11.51758 time: (860.9, 377.4) vloss: 35.251 CER: 0.1468 NER: 0.1575 lr: 0.00014 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1436, B: 71.13
[ 340000] Loss: 11.52337 time: (864.8, 378.6) vloss: 35.344 CER: 0.1467 NER: 0.1572 lr: 0.00013 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1433, B: 71.06
[ 345000] Loss: 11.13448 time: (861.3, 369.2) vloss: 35.351 CER: 0.1471 NER: 0.1582 lr: 0.00012 bAcc: 9.7, bNER: 1000000.0000, bCER: 0.1426, B: 70.98
