[ 160000] Loss: 28.80639 time: (870.6, 330.3) vloss: 52.042 CER: 0.2715 NER: 0.2785 lr: 0.00129 bAcc: 2.7, bNER: 1000000.0000, bCER: 0.2314, B: 49.06
[ 165000] Loss: 27.64281 time: (868.5, 329.5) vloss: 51.245 CER: 0.2665 NER: 0.2738 lr: 0.00121 bAcc: 2.8, bNER: 1000000.0000, bCER: 0.2281, B: 50.34
[ 170000] Loss: 27.38488 time: (868.7, 329.3) vloss: 50.305 CER: 0.2610 NER: 0.2657 lr: 0.00114 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2248, B: 51.14
[ 175000] Loss: 26.42642 time: (868.7, 330.7) vloss: 49.540 CER: 0.2558 NER: 0.2610 lr: 0.00107 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2211, B: 52.11
[ 180000] Loss: 26.23850 time: (871.9, 329.6) vloss: 48.629 CER: 0.2519 NER: 0.2574 lr: 0.00100 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2187, B: 53.10
[ 185000] Loss: 24.89137 time: (864.2, 328.1) vloss: 48.015 CER: 0.2484 NER: 0.2555 lr: 0.00094 bAcc: 3.2, bNER: 1000000.0000, bCER: 0.2153, B: 53.35
[ 190000] Loss: 24.90973 time: (862.4, 330.7) vloss: 47.273 CER: 0.2451 NER: 0.2539 lr: 0.00088 bAcc: 3.4, bNER: 1000000.0000, bCER: 0.2129, B: 53.90
[ 195000] Loss: 24.08787 time: (864.3, 331.4) vloss: 46.514 CER: 0.2425 NER: 0.2493 lr: 0.00083 bAcc: 3.4, bNER: 1000000.0000, bCER: 0.2102, B: 54.64
[ 200000] Loss: 23.50197 time: (864.3, 330.4) vloss: 45.949 CER: 0.2365 NER: 0.2445 lr: 0.00077 bAcc: 3.5, bNER: 1000000.0000, bCER: 0.2073, B: 55.41
[ 205000] Loss: 22.67692 time: (862.2, 330.4) vloss: 45.382 CER: 0.2336 NER: 0.2403 lr: 0.00073 bAcc: 3.7, bNER: 1000000.0000, bCER: 0.2048, B: 55.85
[ 210000] Loss: 22.35628 time: (862.8, 330.4) vloss: 44.811 CER: 0.2308 NER: 0.2361 lr: 0.00068 bAcc: 3.7, bNER: 1000000.0000, bCER: 0.2036, B: 56.52
[ 215000] Loss: 21.74063 time: (862.4, 329.0) vloss: 44.357 CER: 0.2291 NER: 0.2363 lr: 0.00064 bAcc: 3.8, bNER: 1000000.0000, bCER: 0.2009, B: 56.59
[ 220000] Loss: 21.21090 time: (863.9, 331.0) vloss: 43.935 CER: 0.2280 NER: 0.2341 lr: 0.00060 bAcc: 4.0, bNER: 1000000.0000, bCER: 0.1994, B: 56.80
